"question","answer","index","asd","ASD"
"Airport drop","{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.3"",""body"":[{""type"":""Container"",""items"":[{""type"":""TextBlock"",""text"":""Our airport transfer services make sure our customers have a stellar experience from the moment they land. "",""wrap"":true},{""type"":""TextBlock"",""text"":""Please fill out the below form. "",""wrap"":true},{""type"":""ColumnSet"",""columns"":[{""type"":""Column"",""width"":""stretch"",""items"":[{""type"":""TextBlock"",""text"":""Trip"",""wrap"":true}]},{""type"":""Column"",""width"":""stretch"",""items"":[{""type"":""Input.ChoiceSet"",""choices"":[{""title"":""One Way"",""value"":""One Way""},{""title"":""Round Trip"",""value"":""Round Trip""}],""placeholder"":""Trip"",""id"":""Trip""}]}]},{""type"":""ActionSet"",""actions"":[{""type"":""Action.Submit"",""title"":""Submit"",""id"":""2"",""data"":{""UserAction"":""Pick Up Location""}}]}]}],""fallbackText"":""Our airport transfer services make sure our customers have a stellar experience from the moment they land.  \n\nPlease type one of the below options \n\n*_Oneway Trip_*\n*_Round Trip_*"",""id"":""TripCard_Airport Transfer Form""}","101","12",""
"Airport pickup","{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.3"",""body"":[{""type"":""Container"",""items"":[{""type"":""TextBlock"",""text"":""Our airport transfer services make sure our customers have a stellar experience from the moment they land. "",""wrap"":true},{""type"":""TextBlock"",""text"":""Please fill out the below form. "",""wrap"":true},{""type"":""ColumnSet"",""columns"":[{""type"":""Column"",""width"":""stretch"",""items"":[{""type"":""TextBlock"",""text"":""Trip"",""wrap"":true}]},{""type"":""Column"",""width"":""stretch"",""items"":[{""type"":""Input.ChoiceSet"",""choices"":[{""title"":""One Way"",""value"":""One Way""},{""title"":""Round Trip"",""value"":""Round Trip""}],""placeholder"":""Trip"",""id"":""Trip""}]}]},{""type"":""ActionSet"",""actions"":[{""type"":""Action.Submit"",""title"":""Submit"",""id"":""2"",""data"":{""UserAction"":""Pick Up Location""}}]}]}],""fallbackText"":""Our airport transfer services make sure our customers have a stellar experience from the moment they land.  \n\nPlease type one of the below options \n\n*_Oneway Trip_*\n*_Round Trip_*"",""id"":""TripCard_Airport Transfer Form""}","101","14",""
"Airport transfer ","{""type"":""AdaptiveCard"",""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""version"":""1.3"",""body"":[{""type"":""Container"",""items"":[{""type"":""TextBlock"",""text"":""Our airport transfer services make sure our customers have a stellar experience from the moment they land. "",""wrap"":true},{""type"":""TextBlock"",""text"":""Please fill out the below form. "",""wrap"":true},{""type"":""ColumnSet"",""columns"":[{""type"":""Column"",""width"":""stretch"",""items"":[{""type"":""TextBlock"",""text"":""Trip"",""wrap"":true}]},{""type"":""Column"",""width"":""stretch"",""items"":[{""type"":""Input.ChoiceSet"",""choices"":[{""title"":""One Way"",""value"":""One Way""},{""title"":""Round Trip"",""value"":""Round Trip""}],""placeholder"":""Trip"",""id"":""Trip""}]}]},{""type"":""ActionSet"",""actions"":[{""type"":""Action.Submit"",""title"":""Submit"",""id"":""2"",""data"":{""UserAction"":""Pick Up Location""}}]}]}],""fallbackText"":""Our airport transfer services make sure our customers have a stellar experience from the moment they land.  \n\nPlease type one of the below options \n\n*_Oneway Trip_*\n*_Round Trip_*"",""id"":""TripCard_Airport Transfer Form""}","101","17",""
"Do you provide travel insurance ","Yes, please click the following link for details. https://tagconnect.brokersure.com/step1?tr=Global_Travel_Solutions","100","32",""
"Travel insurance ","Yes, please click the following link for details. https://tagconnect.brokersure.com/step1?tr=Global_Travel_Solutions","100","17",""
"Do you provide insurance ","Yes, please click the following link for details. https://tagconnect.brokersure.com/step1?tr=Global_Travel_Solutions","100","25",""
"I want to speak to human ","Yes, please email your name, email, and contact number and send your requests through ticketing@globaltravelsolution.co.uk  or call us @ +44 0208 090 4289 (during business hours.)","99","25",""
"I want to speak to an Agent","Yes, please email your name, email, and contact number and send your requests through ticketing@globaltravelsolution.co.uk  or call us @ +44 0208 090 4289 (during business hours.)","99","27",""
"I want to speak to a customer service ","Yes, please email your name, email, and contact number and send your requests through ticketing@globaltravelsolution.co.uk  or call us @ +44 0208 090 4289 (during business hours.)","99","38",""
"I want to speak to a live person","Yes, please email your name, email, and contact number and send your requests through ticketing@globaltravelsolution.co.uk  or call us @ +44 0208 090 4289 (during business hours.)","99","32",""
"Can I talk to some one in person ","Yes, please email your name, email, and contact number and send your requests through ticketing@globaltravelsolution.co.uk  or call us @ +44 0208 090 4289 (during business hours.)","99","33",""
"Missed tour","Sorry, once the tour is started we cannot cancel it or refund you.","98","11",""
"What if I decide to skip the tour.","Sorry, once the tour is started we cannot cancel it or refund you.","98","34",""
"No show for the tour.","Sorry, once the tour is started we cannot cancel it or refund you.","98","21",""
"Will I get a refund if I miss the tour?","Sorry, once the tour is started we cannot cancel it or refund you.","98","39",""
"What if I miss the tour.","Sorry, once the tour is started we cannot cancel it or refund you.","98","24",""
"Guidelines ","Please click the link to see the terms and conditions. https://globaltravelsolution.co.uk/terms-and-conditions/","97","11",""
"Do we need to follow any guidelines ","Please click the link to see the terms and conditions. https://globaltravelsolution.co.uk/terms-and-conditions/","97","36",""
"Do we need to rules ","Please click the link to see the terms and conditions. https://globaltravelsolution.co.uk/terms-and-conditions/","97","20",""
"What are the Terms & Conditions for the tours ","Please click the link to see the terms and conditions. https://globaltravelsolution.co.uk/terms-and-conditions/","97","46",""
"Terms & Conditions","Please click the link to see the terms and conditions. https://globaltravelsolution.co.uk/terms-and-conditions/","97","18",""
"Tour timings ","Tour starts at 09:00 AM approximately and ends at 19:00 Hrs approximately.","96","13",""
"When does the tour ends?","Tour starts at 09:00 AM approximately and ends at 19:00 Hrs approximately.","96","24",""
"At what time does the tour ends?","Tour starts at 09:00 AM approximately and ends at 19:00 Hrs approximately.","96","32",""
"At what time do you drop off ?","Tour starts at 09:00 AM approximately and ends at 19:00 Hrs approximately.","96","30",""
"What is the tour timings. ","Tour starts at 09:00 AM approximately and ends at 19:00 Hrs approximately.","96","26",""
"When does the tour starts?","Tour starts at 09:00 AM approximately and ends at 19:00 Hrs approximately.","96","26",""
"What is the pick up time.","Tour starts at 09:00 AM approximately and ends at 19:00 Hrs approximately.","96","25",""
"At what time does the tour starts ","Tour starts at 09:00 AM approximately and ends at 19:00 Hrs approximately.","96","34",""
"Cancel","You, need to do cancellation within seven days after booking, post which charges apply.","95","6",""
"When can I cancel my tickets ","You, need to do cancellation within seven days after booking, post which charges apply.","95","29",""
"Cancellation charges ","You, need to do cancellation within seven days after booking, post which charges apply.","95","21",""
"Ticket cancellation ","You, need to do cancellation within seven days after booking, post which charges apply.","95","20",""
"Booking Cancellation","You, need to do cancellation within seven days after booking, post which charges apply.","95","20",""
"Cancellation policy","You, need to do cancellation within seven days after booking, post which charges apply.","95","19",""
"Can I change my travel date for better ticket price? ","Yes, you can choose the date based of the pricing before booking, however once booked you might incur charges based on the airlines.","94","53",""
"Do you have any flexibility on the price?","Yes, you can choose the date based of the pricing before booking, however once booked you might incur charges based on the airlines.","94","41",""
"Concession","We provide discounts for Students, Seniors over 60, and Children between 5 and 15. please send your requests through  ticketing@globaltravelsolution.co.uk  or call us @ +44 0208 090 4289.","93","10",""
"Discounts ","We provide discounts for Students, Seniors over 60, and Children between 5 and 15. please send your requests through  ticketing@globaltravelsolution.co.uk  or call us @ +44 0208 090 4289.","93","10",""
"Can I have concession on price?","We provide discounts for Students, Seniors over 60, and Children between 5 and 15. please send your requests through  ticketing@globaltravelsolution.co.uk  or call us @ +44 0208 090 4289.","93","31",""
"Do you provide any discounts?","We provide discounts for Students, Seniors over 60, and Children between 5 and 15. please send your requests through  ticketing@globaltravelsolution.co.uk  or call us @ +44 0208 090 4289.","93","29",""
"How much baggage am I allowed to carry?","You're restricted to 14kg (31lbs) of luggage per person. This should be one piece of luggage similar to an airline carry-on bag (approximately 55cm x 45cm x 25cm / 22in x 17in x 10in) and a small bag for onboard personal items.","92","39",""
"Luggage Weight ","You're restricted to 14kg (31lbs) of luggage per person. This should be one piece of luggage similar to an airline carry-on bag (approximately 55cm x 45cm x 25cm / 22in x 17in x 10in) and a small bag for onboard personal items.","92","15",""
"How much weight can I carry with me?","You're restricted to 14kg (31lbs) of luggage per person. This should be one piece of luggage similar to an airline carry-on bag (approximately 55cm x 45cm x 25cm / 22in x 17in x 10in) and a small bag for onboard personal items.","92","36",""
"How many bags can I carry ","You're restricted to 14kg (31lbs) of luggage per person. This should be one piece of luggage similar to an airline carry-on bag (approximately 55cm x 45cm x 25cm / 22in x 17in x 10in) and a small bag for onboard personal items.","92","26",""
"Luggage","You're restricted to 14kg (31lbs) of luggage per person. This should be one piece of luggage similar to an airline carry-on bag (approximately 55cm x 45cm x 25cm / 22in x 17in x 10in) and a small bag for onboard personal items.","92","7",""
"How much luggage can I carry","You're restricted to 14kg (31lbs) of luggage per person. This should be one piece of luggage similar to an airline carry-on bag (approximately 55cm x 45cm x 25cm / 22in x 17in x 10in) and a small bag for onboard personal items.","92","28",""
"Bulk Booking ","Maximum 9 tickets can be booked by one person. If you want to book more tickets for your group, please send your requests through  ticketing@globaltravelsolution.co.uk  or call us @ +44 0208 090 4289","91","13",""
"Group Booking","Maximum 9 tickets can be booked by one person. If you want to book more tickets for your group, please send your requests through  ticketing@globaltravelsolution.co.uk  or call us @ +44 0208 090 4289","91","13",""
"Can I book tickets for a larger group?","Maximum 9 tickets can be booked by one person. If you want to book more tickets for your group, please send your requests through  ticketing@globaltravelsolution.co.uk  or call us @ +44 0208 090 4289","91","38",""
"Can I do bulk booking?","Maximum 9 tickets can be booked by one person. If you want to book more tickets for your group, please send your requests through  ticketing@globaltravelsolution.co.uk  or call us @ +44 0208 090 4289","91","22",""
"How many tickets can I book?","Maximum 9 tickets can be booked by one person. If you want to book more tickets for your group, please send your requests through  ticketing@globaltravelsolution.co.uk  or call us @ +44 0208 090 4289","91","28",""
"Maximum number of tickets ","Maximum 9 tickets can be booked by one person. If you want to book more tickets for your group, please send your requests through  ticketing@globaltravelsolution.co.uk  or call us @ +44 0208 090 4289","91","26",""
"How many tickets can be booked by one person?","Maximum 9 tickets can be booked by one person. If you want to book more tickets for your group, please send your requests through  ticketing@globaltravelsolution.co.uk  or call us @ +44 0208 090 4289","91","45",""
"Thanks","You're welcome.","90","6",""
"Rad thank you","You're welcome.","90","13",""
"Radical, thanks","You're welcome.","90","15",""
"Right on, thanks a lot","You're welcome.","90","22",""
"Right on, thanks very much","You're welcome.","90","26",""
"Thank you","You're welcome.","90","9",""
"Thank you bot","You're welcome.","90","13",""
"Thank you for that","You're welcome.","90","18",""
"Thank you kindly","You're welcome.","90","16",""
"Thank you my friend","You're welcome.","90","19",""
"Perfect, thanks","You're welcome.","90","15",""
"Thank you so much","You're welcome.","90","17",""
"Okay, thanks!","You're welcome.","90","13",""
"Thanks a lot","You're welcome.","90","12",""
"Thanks bot","You're welcome.","90","10",""
"That is awesome, thanks!","You're welcome.","90","24",""
"That is lovely, thanks","You're welcome.","90","22",""
"Thnx","You're welcome.","90","4",""
"Why thank you","You're welcome.","90","13",""
"Wonderful, thank you very much","You're welcome.","90","30",""
"Wonderful, thank you!","You're welcome.","90","21",""
"thank you pal","You're welcome.","90","13",""
"Awesome thanks!","You're welcome.","90","15",""
"Gotcha, thank you","You're welcome.","90","17",""
"Gracias","You're welcome.","90","7",""
"Great, thank you","You're welcome.","90","16",""
"Great, thanks","You're welcome.","90","13",""
"How kind, thank you","You're welcome.","90","19",""
"I am very thankful for that","You're welcome.","90","27",""
"I appreciate that","You're welcome.","90","17",""
"I appreciate you","You're welcome.","90","16",""
"Perfecto, thanks","You're welcome.","90","16",""
"I'm grateful for that, thank you","You're welcome.","90","32",""
"Ahh, thanks","You're welcome.","90","11",""
"Kthx","You're welcome.","90","4",""
"Many thanks","You're welcome.","90","11",""
"Many thanks to you","You're welcome.","90","18",""
"Marvelous, thank you","You're welcome.","90","20",""
"Marvelous, thank you kindly","You're welcome.","90","27",""
"Marvelous, thanks","You're welcome.","90","17",""
"My humblest thanks to you","You're welcome.","90","25",""
"My sincere thanks","You're welcome.","90","17",""
"I thank you","You're welcome.","90","11",""
"Thx","You're welcome.","90","3",""
"I appreciate it","You're welcome.","90","15",""
"Rad, thanks","You're welcome.","90","11",""
"Gotcha, thanks","You're welcome.","90","14",""
"I'm grateful for that, thank you kindly","You're welcome.","90","39",""
"That's great, thanks","You're welcome.","90","20",""
"Wonderful, thanks!","You're welcome.","90","18",""
"I'm grateful, thanks","You're welcome.","90","20",""
"Oh, thank you","You're welcome.","90","13",""
"That's very kind","You're welcome.","90","16",""
"I'm the most smart","You're definitely smarter than I am.","89","18",""
"I'm obviously smarter","You're definitely smarter than I am.","89","21",""
"I'm obviously the brightest","You're definitely smarter than I am.","89","27",""
"I'm obviously the most smart","You're definitely smarter than I am.","89","28",""
"I'm obviously the smartest","You're definitely smarter than I am.","89","26",""
"I'm smarter","You're definitely smarter than I am.","89","11",""
"I'm smarter than you","You're definitely smarter than I am.","89","20",""
"I'm the brighter than you","You're definitely smarter than I am.","89","25",""
"You're the smartest","You're definitely smarter than I am.","89","19",""
"I'm the most intelligent","You're definitely smarter than I am.","89","24",""
"I'm obviously more intelligent than you","You're definitely smarter than I am.","89","39",""
"I'm the smartest","You're definitely smarter than I am.","89","16",""
"Which of us is cleverest?","You're definitely smarter than I am.","89","25",""
"Which of us is more intelligent?","You're definitely smarter than I am.","89","32",""
"Which of us is more knowledgeable?","You're definitely smarter than I am.","89","34",""
"Which of us is smarter?","You're definitely smarter than I am.","89","23",""
"Which of us is the most intelligent?","You're definitely smarter than I am.","89","36",""
"I'm the brightest","You're definitely smarter than I am.","89","17",""
"I'm more intelligent than you","You're definitely smarter than I am.","89","29",""
"I'm definitely more knowledgeable","You're definitely smarter than I am.","89","33",""
"I'm definitely more knowledgeable than you","You're definitely smarter than I am.","89","42",""
"I'm definitely smarter","You're definitely smarter than I am.","89","22",""
"I'm definitely smarter than you","You're definitely smarter than I am.","89","31",""
"I'm definitely the brightest","You're definitely smarter than I am.","89","28",""
"I'm definitely the most intelligent","You're definitely smarter than I am.","89","35",""
"I'm definitely the most smart","You're definitely smarter than I am.","89","29",""
"I'm definitely the smartest","You're definitely smarter than I am.","89","27",""
"I'm more clever","You're definitely smarter than I am.","89","15",""
"I'm obviously more knowledgeable than you","You're definitely smarter than I am.","89","41",""
"I'm more intelligent","You're definitely smarter than I am.","89","20",""
"I'm obviously more knowledgeable","You're definitely smarter than I am.","89","32",""
"I'm more knowledgeable","You're definitely smarter than I am.","89","22",""
"I'm more knowledgeable than you","You're definitely smarter than I am.","89","31",""
"I'm obviously cleverest","You're definitely smarter than I am.","89","23",""
"I'm obviously more clever","You're definitely smarter than I am.","89","25",""
"I'm obviously more clever than you","You're definitely smarter than I am.","89","34",""
"I'm obviously more intelligent","You're definitely smarter than I am.","89","30",""
"Which one of us is cleverest?","You're definitely smarter than I am.","89","29",""
"I'm more clever than you","You're definitely smarter than I am.","89","24",""
"You're obviously more knowledgeable","You're definitely smarter than I am.","89","35",""
"Who's smarter, me or you?","You're definitely smarter than I am.","89","25",""
"Who's smarter?","You're definitely smarter than I am.","89","14",""
"Who's the brightest?","You're definitely smarter than I am.","89","20",""
"Who's the most intelligent?","You're definitely smarter than I am.","89","27",""
"Who's the most smart?","You're definitely smarter than I am.","89","21",""
"Who's the smartest?","You're definitely smarter than I am.","89","19",""
"You're cleverest","You're definitely smarter than I am.","89","16",""
"You're more clever","You're definitely smarter than I am.","89","18",""
"You're more intelligent","You're definitely smarter than I am.","89","23",""
"Which of us is the most smart?","You're definitely smarter than I am.","89","30",""
"You're obviously more intelligent","You're definitely smarter than I am.","89","33",""
"Who's more clever?","You're definitely smarter than I am.","89","18",""
"You're obviously smarter","You're definitely smarter than I am.","89","24",""
"You're obviously the brightest","You're definitely smarter than I am.","89","30",""
"You're obviously the most intelligent","You're definitely smarter than I am.","89","37",""
"You're obviously the smartest","You're definitely smarter than I am.","89","29",""
"You're smarter","You're definitely smarter than I am.","89","14",""
"You're the brightest","You're definitely smarter than I am.","89","20",""
"You're the most intelligent","You're definitely smarter than I am.","89","27",""
"You're the most smart","You're definitely smarter than I am.","89","21",""
"You're more knowledgeable","You're definitely smarter than I am.","89","25",""
"Who is more intelligent?","You're definitely smarter than I am.","89","24",""
"I'm definitely more clever than you","You're definitely smarter than I am.","89","35",""
"Which one of us is more clever?","You're definitely smarter than I am.","89","31",""
"Which one of us is more intelligent?","You're definitely smarter than I am.","89","36",""
"Which one of us is more knowledgeable?","You're definitely smarter than I am.","89","38",""
"Which one of us is smarter?","You're definitely smarter than I am.","89","27",""
"Which one of us is the brightest?","You're definitely smarter than I am.","89","33",""
"Which one of us is the most intelligent?","You're definitely smarter than I am.","89","40",""
"Which one of us is the most smart?","You're definitely smarter than I am.","89","34",""
"Which one of us is the smartest?","You're definitely smarter than I am.","89","32",""
"Who's more knowledgeable?","You're definitely smarter than I am.","89","25",""
"Who is more clever?","You're definitely smarter than I am.","89","19",""
"Who's more intelligent?","You're definitely smarter than I am.","89","23",""
"Who is more knowledgeable?","You're definitely smarter than I am.","89","26",""
"Who is smarter?","You're definitely smarter than I am.","89","15",""
"Who is the brightest?","You're definitely smarter than I am.","89","21",""
"Who is the most intelligent?","You're definitely smarter than I am.","89","28",""
"Who is the smartest?","You're definitely smarter than I am.","89","20",""
"Who's cleverest?","You're definitely smarter than I am.","89","16",""
"Which of us is the smartest?","You're definitely smarter than I am.","89","28",""
"Who is cleverest?","You're definitely smarter than I am.","89","17",""
"Between the two of us who is the smartest, you or me?","You're definitely smarter than I am.","89","53",""
"Between the two of us who is smarter?","You're definitely smarter than I am.","89","37",""
"Between the two of us who is the brightest, me or you?","You're definitely smarter than I am.","89","54",""
"Between the two of us who is the brightest, you or me?","You're definitely smarter than I am.","89","54",""
"Between the two of us who is the brightest?","You're definitely smarter than I am.","89","43",""
"Between the two of us who is the most intelligent, me or you?","You're definitely smarter than I am.","89","61",""
"Between the two of us who is the most intelligent, you or me?","You're definitely smarter than I am.","89","61",""
"Between the two of us who is the most intelligent?","You're definitely smarter than I am.","89","50",""
"Between the two of us who is the most smart, me or you?","You're definitely smarter than I am.","89","55",""
"I'm definitely more intelligent than you","You're definitely smarter than I am.","89","40",""
"Between the two of us who is the smartest, me or you?","You're definitely smarter than I am.","89","53",""
"Between the two of us who is more knowledgeable?","You're definitely smarter than I am.","89","48",""
"Between the two of us who is the smartest?","You're definitely smarter than I am.","89","42",""
"Between you or me, who is cleverest?","You're definitely smarter than I am.","89","36",""
"Between you or me, who is more clever?","You're definitely smarter than I am.","89","38",""
"Between you or me, who is more intelligent?","You're definitely smarter than I am.","89","43",""
"Between you or me, who is more knowledgeable?","You're definitely smarter than I am.","89","45",""
"Between you or me, who is smarter, me or you?","You're definitely smarter than I am.","89","45",""
"Between you or me, who is smarter?","You're definitely smarter than I am.","89","34",""
"Between you or me, who is the brightest?","You're definitely smarter than I am.","89","40",""
"Between the two of us who is the most smart?","You're definitely smarter than I am.","89","44",""
"Between the two of us who is more clever, me or you?","You're definitely smarter than I am.","89","52",""
"Am I more brilliant?","You're definitely smarter than I am.","89","20",""
"Am I more intelligent?","You're definitely smarter than I am.","89","22",""
"Am I smarter than you?","You're definitely smarter than I am.","89","22",""
"Am I smarter?","You're definitely smarter than I am.","89","13",""
"Am I the brightest?","You're definitely smarter than I am.","89","19",""
"Am I the smartest?","You're definitely smarter than I am.","89","18",""
"Are you smarter than me?","You're definitely smarter than I am.","89","24",""
"Are you smarter?","You're definitely smarter than I am.","89","16",""
"Between the two of us who is cleverest, me or you?","You're definitely smarter than I am.","89","50",""
"Between the two of us who is smarter, you or me?","You're definitely smarter than I am.","89","48",""
"Between the two of us who is cleverest?","You're definitely smarter than I am.","89","39",""
"Between the two of us who is smarter, me or you?","You're definitely smarter than I am.","89","48",""
"Between the two of us who is more clever, you or me?","You're definitely smarter than I am.","89","52",""
"Between the two of us who is more clever?","You're definitely smarter than I am.","89","41",""
"Between the two of us who is more intelligent, me or you?","You're definitely smarter than I am.","89","57",""
"Between the two of us who is more intelligent, you or me?","You're definitely smarter than I am.","89","57",""
"Between the two of us who is more intelligent?","You're definitely smarter than I am.","89","46",""
"Between the two of us who is more knowledgeable, me or you?","You're definitely smarter than I am.","89","59",""
"Between the two of us who is more knowledgeable, you or me?","You're definitely smarter than I am.","89","59",""
"Between you or me, who is the smartest?","You're definitely smarter than I am.","89","39",""
"Between the two of us who is cleverest, you or me?","You're definitely smarter than I am.","89","50",""
"I'm clearly the brightest","You're definitely smarter than I am.","89","25",""
"Do you think you're the smartest than me?","You're definitely smarter than I am.","89","41",""
"I'm clearly brighter than you","You're definitely smarter than I am.","89","29",""
"I'm clearly cleverest","You're definitely smarter than I am.","89","21",""
"I'm clearly more clever than you","You're definitely smarter than I am.","89","32",""
"I'm clearly more intelligent","You're definitely smarter than I am.","89","28",""
"I'm clearly more intelligent than you","You're definitely smarter than I am.","89","37",""
"I'm clearly more knowledgeable","You're definitely smarter than I am.","89","30",""
"I'm clearly more knowledgeable than you","You're definitely smarter than I am.","89","39",""
"Between you or me, who is the most intelligent?","You're definitely smarter than I am.","89","47",""
"I'm clearly smarter than you","You're definitely smarter than I am.","89","28",""
"Do you think you're the most intelligent","You're definitely smarter than I am.","89","40",""
"I'm clearly the most intelligent","You're definitely smarter than I am.","89","32",""
"I'm clearly the most smart","You're definitely smarter than I am.","89","26",""
"I'm clearly the smartest","You're definitely smarter than I am.","89","24",""
"I'm cleverest","You're definitely smarter than I am.","89","13",""
"I'm definitely brighter than you","You're definitely smarter than I am.","89","32",""
"I'm definitely cleverest","You're definitely smarter than I am.","89","24",""
"I'm definitely more clever","You're definitely smarter than I am.","89","26",""
"Am I brighter than you?","You're definitely smarter than I am.","89","23",""
"I'm clearly smarter","You're definitely smarter than I am.","89","19",""
"Do you think you're more clever than me?","You're definitely smarter than I am.","89","40",""
"I'm definitely more intelligent","You're definitely smarter than I am.","89","31",""
"Do you think I'm brighter?","You're definitely smarter than I am.","89","26",""
"Do you think I'm more clever than you?","You're definitely smarter than I am.","89","38",""
"Do you think I'm more intelligent than you?","You're definitely smarter than I am.","89","43",""
"Do you think I'm more knowledgeable than you?","You're definitely smarter than I am.","89","45",""
"Do you think I'm smarter than you?","You're definitely smarter than I am.","89","34",""
"Do you think I'm smarter?","You're definitely smarter than I am.","89","25",""
"Do you think I'm the most intelligent?","You're definitely smarter than I am.","89","38",""
"Do you think I'm the smartest than you?","You're definitely smarter than I am.","89","39",""
"Do you think you're the smartest","You're definitely smarter than I am.","89","32",""
"Do you think you're more clever","You're definitely smarter than I am.","89","31",""
